440hz,Rudall Carte Rockstro,Boehm1828,Martin Frere
C,ok,ok,N/A
C#,-2,-2,N/A
D,-2,-4,-3
D#,-2,-2,-1
E,-2,ok,2
F,-2,ok,ok
F#,-1,-4,-4
G,ok,-2,ok
G#,ok,ok,ok
A,ok,ok,2
A#,ok,ok,2
B,ok,-1,ok
C',2,-6,-2
C'#,2,-7,-2
D',ok,*ok,*ok
D'#,-2,ok,ok
E',-2,1,2
F',-2,ok,1
F'#,ok,ok,-4
G',-1,ok,1
G'#,ok,-2,2
A',*ok,ok,1
A'#,ok,ok,1
B',ok,-5,-2
C'',ok,-6,2
C''#,-3,2,5
D'',-2,-2,2
D''#,ok,ok,2
E'',ok,-2,ok
F'',ok,ok,5
F''#,1,2,-4
G'',ok,-1,-2
G''#,ok,-2,ok
A'',-2,ok,-1
A''#,-2,4,1
B'',1 (no d# key),7,6
C''',6,6,2
